AKIBA’S TRIP -THE ANIMATION-,,13,128,2,2017,冬,../anime/AKIBA’S TRIP -THE ANIMATION-/
Aldonoah.Zero,,12,49925,4,2014,夏,../anime/ALDNOAH.ZERO/第一期/
Aldonoah.Zero(第2期),,12,49925,4,2015,冬,../anime/ALDNOAH.ZERO/第二期/
Angel Beats! ,AB!,13,140102,5,2010,春,../anime/Angel Beats!/
BEATLESS,,20,49921,5,2018,冬,../anime/BEATLESS/BEATLESS/
BEATLESS FINALSTAGE(第2期),,4,49921,5,2018,春,../anime/BEATLESS/BEATLESS FINALSTAGE/
BLACK LAGOON,,12,769,4,2006,春,../anime/BLACK LAGOON/BLACK LAGOON(第一期)/
BLACK LAGOON The Second Barrage(第二期),,12,769,4,2006,秋,../anime/BLACK LAGOON/BLACK LAGOON The Second Barrage(第二期)/
BLACK LAGOON Roberta's Blood Trail(第三期;OVA),,5,769,4,2010,夏,../anime/BLACK LAGOON/BLACK LAGOON Roberta's Blood Trail(OVA)/
BTOOOM!,,12,578,3,2012,秋,../anime/BTOOOM!/
Carnival Phantasm,CP,12,131204,4,2011,夏,../anime/Carnival Phantasm/
Chaos;Child,カオチャ,12,289,4,2017,冬,../anime/Chaos;Child/
Charlotte,,13,131911,4,2015,夏,../anime/Charlotte(シャーロット)/
citrus,,12,131078,3,2018,冬,../anime/citrus/
Clannad,,22,131142,4,2007,秋,../anime/Clannad/Clannad/
Clannad After Story,,22,131142,4,2008,秋,../anime/Clannad/Clannad After Story/
Classroom☆Crisis,クラ☆クラ,13,163852,4,2015,夏,../anime/Classroom☆Crisis/
COPPELION,,13,33541,3,2013,秋,../anime/COPPELION/
Cowboy Bebop,,13,65536,0,1998,秋,../anime/Cowboy Bebop/
DARKER THAN BLACK -黒の契約者-(第一期),DARKER,26,769,0,2007,春,../anime/DARKER THAN BLACK/DARKER THAN BLACK -黒の契約者-/
DARKER THAN BLACK -黒の契約者- 外伝(第三期;OVA),DARKER,4,769,0,2012,冬,../anime/DARKER THAN BLACK/DARKER THAN BLACK -黒の契約者-外伝/
Dies irae,,11,773,0,2017,秋,../anime/Dies irae/
DOUBLE DECKER! ダグ&キリル,,0,65536,0,2018,秋,../anime/DOUBLE DECKER! ダグ&キリル/
Fate EXTRA Last Encore,,10,261,4,2018,冬,../anime/Fate/Fate EXTRA Last Encore/
Fate kaleid liner プリズマ☆イリヤ,プリヤ,10,4357,4,2013,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/Fate kaleid liner プリズマ☆イリヤ/
Fate kaleid liner プリズマ☆イリヤ ツヴァイ！(第二期),プリヤ,10,4357,4,2014,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/Fate kaleid liner プリズマ☆イリヤ ツヴァイ！/
Fate kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！(第三期),プリヤ,10,4357,4,2015,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/Fate kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！/
Fate kaleid liner プリズマ☆イリヤ ドライ!!(第四期),プリヤ,12,4357,4,2016,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/Fate kaleid liner プリズマ☆イリヤ ドライ!!/
Fate kaleid liner プリズマ☆イリヤ 雪下の誓い(劇場版),プリヤ,1,4357,4,2017,夏,../anime/Fate/Fate kaleid liner プリズマ☆イリヤ/劇場版 Fate kaleid liner プリズマ☆イリヤ 雪下の誓い/
Fate stay night [Unlimited Blade Works](第一期),UBW,12,650,5,2014,秋,../anime/Fate/Fate stay night [Unlimited Blade Works]/第一期/
Fate stay night [Unlimited Blade Works](第二期),UBW,13,650,5,2015,春,../anime/Fate/Fate stay night [Unlimited Blade Works]/第二期/
Fate Zero(第一期),,13,833,5,2011,秋,../anime/Fate/Fate Zero/第一期/
Fate Zero(第二期),,12,833,5,2012,冬,../anime/Fate/Fate Zero/第二期/
Fate Project 大晦日TVスペシャル First & Next Order,,1,257,4,2016,冬,../anime/Fate/Fate Project 大晦日TVスペシャル/
Fate Project 大晦日TVスペシャル2017 ,,1,257,4,2017,冬,../anime/Fate/Fate Project 大晦日TVスペシャル/
Free!-Dive to the Future-,,12,65536,0,2018,夏,../anime/Free!-Dive to the Future-/
GA 芸術科アートデザインクラス,,12,131076,3,2009,夏,../anime/GA 芸術科アートデザインクラス/
GATE -自衛隊 彼の地にて、斯く戦えり- (第一期),GATE,12,9993,5,2016,冬,../anime/GATE -自衛隊 彼の地にて、斯く戦えり-/第一期/
GATE -自衛隊 彼の地にて、斯く戦えり- (第二期),GATE,12,9993,5,2015,夏,../anime/GATE -自衛隊 彼の地にて、斯く戦えり-/第二期/
GJ部,,12,121076,4,2013,冬,../anime/GJ部/
GOSICK -ゴシック-,,24,131335,5,2011,冬,../anime/GOSICK -ゴシック-/
GRANBLUE FANTASY The Animation,グラブル,13,140545,3,2017,春,../anime/GRANBLUE FANTASY The Animation/
GUNSLINGER GIRL(第一期),ガンスリ,13,769,3,2003,秋,../anime/GUNSLINGER GIRL/GUNSLINGER GIRL/
GUNSLINGER GIRL IL Teatrino(第二期),ガンスリ,13,769,3,2008,冬,../anime/GUNSLINGER GIRL/GUNSLINGER GIRL IL Teatrino/
INGRESS THE ANIMATION,,0,65536,0,2018,秋,../anime/INGRESS THE ANIMATION/
IS 〈インフィニット・ストラトス〉(第一期),,12,180997,3,2011,冬,../anime/IS 〈インフィニット・ストラトス〉/IS 〈インフィニット・ストラトス〉/
IS 〈インフィニット・ストラトス〉2(第二期),,12,180997,3,2013,秋,../anime/IS 〈インフィニット・ストラトス〉/IS 〈インフィニット・ストラトス〉2/
ISLAND,,12,65536,0,2018,夏,../anime/ISLAND/
JKめし！,,26,133120,3,2015,秋,../anime/JKめし！/
Just Because!,,12,121078,4,2017,秋,../anime/Just Because!/
kiss×sis,,12,131078,3,2010,春,../anime/kiss×sis/
NEW GAME!(第一期),,12,131080,4,2016,夏,../anime/NEW GAME!/NEW GAME!/
NEW GAME!!(第二期),,12,131080,4,2017,夏,../anime/NEW GAME!/NEW GAME!!/
Occultic;Nine -オカルティック・ナイン-,,12,40960,3,2016,秋,../anime/Occultic;Nine -オカルティック・ナイン-/
One Room(第一期),,12,131074,3,2017,冬,../anime/One Room/One Room/
One Room セカンドシーズン,,12,131074,3,2018,夏,../anime/One Room/One Room セカンドシーズン/
Persona4 the ANIMATION,P4,25,65536,0,2011,秋,../anime/ペルソナ/Persona4 the ANIMATION/
persona4 the Golden ANIMATION,P4GA,12,65536,0,2014,夏,../anime/ペルソナ/persona4 the Golden ANIMATION/
PERSONA5 the Animation -THE DAY BREAKERS-,,1,65536,0,2016,秋,../anime/ペルソナ/PERSONA5 THE ANIMATION - THE DAY BREAKERS -/
Phantom ～Requiem for the Phantom～,,26,769,3,2009,春,../anime/Phantom ～Requiem for the Phantom～/
planetarian ～ちいさなほしのゆめ～,,5,49665,3,2016,夏,../anime/planetarian ～ちいさなほしのゆめ～/
PSYCHO-PASS,,22,33321,5,2012,秋,../anime/PSYCHO-PASS/PSYCHO-PASS/
PSYCHO-PASS新編集版,,11,33321,5,2014,夏,../anime/PSYCHO-PASS/PSYCHO-PASS 2期/
PSYCHO-PASS 2,,11,33321,5,2014,秋,../anime/PSYCHO-PASS/PSYCHO-PASS(新編集版)/
劇場版 PSYCHO-PASS,,1,33321,5,2015,冬,../anime/PSYCHO-PASS/劇場版 PSYCHO-PASS/
Rail Wars!,,12,121595,4,2014,夏,../anime/Rail Wars!/
Re:ゼロから始める異世界生活,リゼロ,25,140611,5,2016,春,../anime/Re：ゼロから始める異世界生活/
Re:CREATORS（レクリエイターズ）,,22,62217,4,2017,春,../anime/ReCREATORS（レクリエイターズ）/
RELEASE THE SPYCE,,0,781,3,2018,秋,../anime/RELEASE THE SPYCE/
Rewrite(第一期),,13,773,3,2016,夏,../anime/Rewrite/1stシーズン/
Rewrite(第二期),,11,773,3,2017,冬,../anime/Rewrite/2ndシーズン/
ROBOTICS;NOTES ,,22,0,0,2012,秋,../anime/ROBOTICS;NOTES/
School Days,,12,36,0,2007,夏,../anime/School Days
selector infected WIXOSS(第一期),,12,65536,0,2014,春,../anime/selector infected WIXOSS/
selector spread WIXOSS,,12,65536,0,2014,秋,../anime/selector spread WIXOSS/
SHIROBAKO,,24,131080,4,2014,秋,../anime/SHIROBAKO/
SKET DANCE,,77,131212,4,2011,春,../anime/SKET DANCE/
SSSS.GRIDMAN,,0,65536,0,2018,秋,../anime/SSSS.GRIDMAN/
STEINS;GATE(第一期),シュタゲ,25,34307,5,2011,春,../anime/STEINS;GATE/Steins;Gate/
STEINS;GATE ゼロ(第二期),シュタゲ,12,34307,5,2018,春,../anime/STEINS;GATE/STEINS;GATE ゼロ/
Steins;Gate 聡明叡智のコグニティブ・コンピューティング(OVA),シュタゲ,4,163840,5,2014,秋,../anime/STEINS;GATE/Steins;Gate 聡明叡智のコグニティブ・コンピューティング/
劇場版STEINS;GATE 負荷領域のデジャヴ,シュタゲ,1,163840,5,2013,春,../anime/STEINS;GATE
THE IDOLM@STER,アイマス,25,88,4,2011,夏,../anime/THE IDOLM@STER/
THE IDOLM@STER シンデレラガールズ(第一期),デレマス,13,88,4,2015,冬,../anime/THE IDOLM@STER シンデレラガールズ/THE IDOLM@STER シンデレラガールズ 1stシーズン/
THE IDOLM@STER シンデレラガールズ(第二期),デレマス,12,88,4,2015,夏,../anime/THE IDOLM@STER シンデレラガールズ/THE IDOLM@STER シンデレラガールズ 2ndシーズン/
WORKING!!(第一期),,13,131210,3,2010,春,../anime/WORKING/WORKING!!/
WORKING!!!(第三期),,14,131210,3,2015,夏,../anime/WORKING/WORKING!!!/
WWW.WORKING!!,,13,131210,3,2016,秋,../anime/WWW.WORKING!!/
アイドル事変,,12,16,2,2017,冬,../anime/アイドル事変/
アウトブレイク・カンパニー,OBC,12,140312,3,2013,秋,../anime/アウトブレイク・カンパニー/
アカメが斬る！,,24,65536,0,2014,夏,../anime/アカメが斬る！/
あかねさす少女,,0,65536,0,2018,秋,../anime/あかねさす少女/
アスタロッテのおもちゃ!,,12,139266,3,2011,春,../anime/アスタロッテのおもちゃ!/
あっくんとカノジョ,,25,131078,3,2018,春,../anime/あっくんとカノジョ/
あっちこっち,,13,131078,5,2012,春,../anime/あっちこっち/
アニマエール!,,0,65536,0,2018,秋,../anime/アニマエール!/
アブソリュート・デュオ,,12,773,4,2015,冬,../anime/アブソリュート・デュオ/
アホガール,,12,131204,2,2017,夏,../anime/アホガール/
あまんちゅ！,,12,131076,3,2016,夏,../anime/あまんちゅ！/あまんちゅ！/
あまんちゅ！～あどばんす～,,12,131076,3,2018,春,../anime/あまんちゅ！/あまんちゅ！～アドバンス～/
ありすorありす,,12,131072,4,2018,春,../anime/ありすorありす/
あんハピ♪,,12,132100,4,2016,春,../anime/あんハピ♪/
いなり、こんこん、恋いろは。,,11,140294,3,2014,冬,../anime/いなり、こんこん、恋いろは。/
ヴァイオレット・エヴァーガーデン,,13,131080,4,2018,冬,../anime/ヴァイオレット・エヴァーガーデン/
ウィザード・バリスターズ 弁魔士セシル,,12,1,4,2014,冬,../anime/ウィザード・バリスターズ 弁魔士セシル/
うちのメイドがウザすぎる！,,0,65536,0,2018,秋,../anime/うちのメイドがウザすぎる！/
うぽって！！,,11,901,5,2012,夏,../anime/うぽって！！/
ウマ娘 プリティーダービー,,13,132100,5,2018,春,../anime/ウマ娘 プリティーダービー/
うらら迷路帖,,12,132096,4,2017,冬,../anime/うらら迷路帖/
えとたま,,12,9216,0,2015,春,../anime/えとたま/
エレメントハンター,エレハン,39,41729,3,2009,夏,../anime/エレメントハンター/
エロマンガ先生,,12,131080,3,2017,春,../anime/エロマンガ先生/
おこしやす、ちとせちゃん,,0,65536,0,2018,秋,../anime/おこしやす、ちとせちゃん/
おとなの防具屋さん,,0,65536,0,2018,秋,../anime/おとなの防具屋さん/
お兄ちゃんだけど愛さえあれば関係ないよねっ,おにあい,12,131078,0,2012,秋,../anime/お兄ちゃんだけど愛さえあれば関係ないよねっ/
お姉ちゃんが来た,,12,131072,3,2014,冬,../anime/お姉ちゃんが来た/
お酒は夫婦になってから,,13,131072,3,2017,秋,../anime/お酒は夫婦になってから/
ガーリッシュナンバー,,12,24,3,2016,秋,../anime/ガーリッシュナンバー/
ガールズ＆パンツァー,ガルパン,12,773,5,2012,秋,../anime/ガールズ＆パンツァー/Girls und Panzer (BD 1280x720 AVC AAC)/本編+OVA/
ガイコツ書店員 本田さん,,0,65536,0,2018,秋,../anime/ガイコツ書店員 本田さん/
ガヴリールドロップアウト,ガヴドロ,12,139396,3,2017,冬,../anime/ガヴリールドロップアウト/
がっこうぐらし！,,12,139557,4,2015,夏,../anime/がっこうぐらし/
からかい上手の高木さん,,12,131206,4,2018,冬,../anime/からかい上手の高木さん/
キノの旅 -the Beautiful World- the Animated Series,,12,65536,0,2017,秋,../anime/キノの旅 -the Beautiful World- the Animated Series/
キリングバイツ,,12,1313,3,2018,冬,../anime/キリングバイツ/
ギルティクラウン,ギルクラ,22,837,5,2011,秋,../anime/ギルティクラウン/
キルミーベイベー,,13,131973,3,2012,冬,../anime/キルミーベイベー/
きんいろモザイク,きんモザ,12,131076,4,2013,夏,../anime/きんいろモザイク/きんいろモザイク/
ハロー！！きんいろモザイク,きんモザ,12,131076,4,2015,春,../anime/きんいろモザイク/ハロー！！きんいろモザイク/
クオリディア・コード,,12,33573,3,2016,夏,../anime/クオリディア・コード/
くまみこ,,12,132248,3,2016,春,../anime/くまみこ/
グラゼニ,,12,8,3,2018,春,../anime/グラゼニ/
グリザイアの果実,,13,773,5,2014,秋,../anime/グリザイア/グリザイアの果実/
グリザイアの迷宮,,1,773,5,2015,春,../anime/グリザイア/グリザイアの迷宮/
グリザイアの楽園,,10,773,5,2015,春,../anime/グリザイア/グリザイアの楽園/
