AKIBA’S TRIP -THE ANIMATION-,,13,128,2,2017,冬,../anime/AKIBA’S TRIP -THE ANIMATION-/
クロムクロ,,26,49921,3,2016,春,../anime/クロムクロ/
けいおん!,,12,131140,4,2009,春,../anime/けいおん！/けいおん!/
けいおん！セカンドシーズン,,24,131140,4,2010,春,../anime/けいおん！/けいおん！セカンドシーズン/
ゲーマーズ！,,11,131206,4,2017,夏,../anime/ゲーマーズ！/
けものフレンズ,,12,1024,3,2017,冬,../anime/けものフレンズ/
コードギアス 反逆のルルーシュ,,27,49413,3,2006,秋,../anime/コードギアス/コードギアス 反逆のルルーシュ/
コードギアス 反逆のルルーシュR2,,25,49413,3,2007,春,../anime/コードギアス/コードギアス 反逆のルルーシュR2/
ゴールデンカムイ,,12,65536,0,2018,春,../anime/ゴールデンカムイ/
このはな綺譚,,12,140296,4,2017,秋,../anime/このはな綺譚/
この素晴らしい世界に祝福を！,,11,8576,3,2016,冬,../anime/この素晴らしい世界に祝福を！/
この素晴らしい世界に祝福を！ 2,,11,8576,3,2017,冬,../anime/この素晴らしい世界に祝福を！ 2/
この中に1人、妹がいる！,,13,132102,0,2012,夏,../anime/この中に1人、妹がいる！/
この美術部には問題がある！,,12,132100,3,2012,夏,../anime/この美術部には問題がある！/
ゴブリンスレイヤー,,0,65536,0,2018,秋,../anime/ゴブリンスレイヤー/
こみっくがーるず,,12,131084,4,2018,春,../anime/こみっくがーるず/
これはゾンビですか？,,12,65536,0,2011,冬,../anime/これはゾンビですか？/
ご注文はうさぎですか？,,12,131080,5,2014,春,../anime/ご注文はうさぎですか？/ご注文はうさぎですか？/
ご注文はうさぎですか？？,,12,131080,5,2015,秋,../anime/ご注文はうさぎですか？/ご注文はうさぎですか？？/
サーバント×サービス,,13,138,4,2013,夏,../anime/サーバント×サービス/
サクラクエスト,,25,8,2,2017,春,../anime/サクラクエスト/
さくら荘のペットな彼女,,24,131206,0,2014,秋,../anime/さくら荘のペットな彼女/
ささみさん＠がんばらない,,12,65536,2,2013,秋,../anime/ささみさん＠がんばらない/
さばげぶっ！,,12,896,2,2014,夏,../anime/さばげぶっ！/
さんかれあ,,15,65536,0,2012,春,../anime/さんかれあ/
シュヴァルツェスマーケン,,12,49953,3,2016,冬,../anime/シュヴァルツェスマーケン/
ジョーカー・ゲーム,,12,265,3,2016,春,../anime/ジョーカー・ゲーム/
じょしらく,,13,131208,3,2012,夏,../anime/じょしらく/
シンデレラガールズ劇場(第一期),,13,152592,4,2017,春,../anime/シンデレラガールズ劇場/第一期/
シンデレラガールズ劇場(第二期),,13,152592,4,2017,秋,../anime/シンデレラガールズ劇場/第二期/
シンデレラガールズ劇場(第三期),,11,152592,4,2018,夏,../anime/シンデレラガールズ劇場/第三期/
ステラのまほう,,12,131076,3,2016,秋,../anime/ステラのまほう/
ストライクウィッチーズ,ストパン,12,21249,4,2008,夏,../anime/ストライクウィッチーズ/ストライクウィッチーズ/
ストライクウィッチーズ2,,12,21249,4,2010,夏,../anime/ストライクウィッチーズ/[Coalgirls]_Strike_Witches_2_(1280x720_Blu-Ray_FLAC)/
すのはら荘の管理人さん,,12,65536,0,2018,夏,../anime/すのはら荘の管理人さん/
スロウスタート,,12,131076,4,2018,冬,../anime/スロウスタート/
ゼロから始める魔法の書,,12,65536,0,2017,春,../anime/ゼロから始める魔法の書/
ソード・オラトリア,,12,9475,3,2017,春,../anime/ソード・オラトリア/
ソードアート・オンライン,SAO,25,1283,5,2012,夏,../anime/ソードアート・オンライン/ソードアート・オンライン/第一期/
ソードアート・オンラインⅡ,GGO,24,1797,5,2014,夏,../anime/ソードアート・オンライン/ソードアート・オンライン/第二期/
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,SAOAGGO,12,785,5,2018,春,../anime/ソードアート・オンライン/ソードアート・オンライン オルタナティブ ガンゲイル・オンライン/
ソードアート・オンライン アリシゼーション,アリシゼーション,0,65536,0,2018,秋,../anime/ソードアート・オンライン/ソードアート・オンライン アリシゼーション/
ソラとウミのアイダ,ソラウミ,0,65536,0,2018,秋,../anime/ソラとウミのアイダ/
それが声優！,,13,24,3,2015,夏,../anime/それが声優！/
だがしかし,,12,133248,3,2016,冬,../anime/だがしかし/だがしかし/
だがしかし2,,12,133248,3,2018,冬,../anime/だがしかし/だがしかし2/
たくのみ。,,12,133120,4,2018,冬,../anime/たくのみ。/
ダンガンロンパ 希望の学園と絶望の高校生 The Animation,,13,131077,3,2016,夏,../anime/ダンガンロンパ 希望の学園と絶望の高校生 The Animation/
ダンジョンに出会いを求めるのは間違っているだろうか,ダンまち,13,9475,3,2015,春,../anime/ダンジョンに出会いを求めるのは間違っているだろうか/
だんちがい,,13,131072,4,2015,夏,../anime/だんちがい/
ちはやふる,,25,65536,0,2011,秋,../anime/ちはやふる/第1期/
ちはやふる2,,25,65536,0,2013,冬,../anime/ちはやふる/第2期/
デート・ア・ライブ,,13,8967,3,2013,春,../anime/デート・ア・ライブ/デート・ア・ライブ/
デート・ア・ライブⅡ,,11,8967,3,2013,春,../anime/デート・ア・ライブ/デート・ア・ライブⅡ/
デスマーチからはじまる異世界狂想曲,,12,9987,4,2018,冬,../anime/デスマーチからはじまる異世界狂想曲/
とある科学の超電磁砲,レールガン,25,164613,5,2009,秋,../anime/とある科学の超電磁砲/とある科学の超電磁砲/
とある科学の超電磁砲S,レールガン,25,164613,5,2013,春,../anime/とある科学の超電磁砲/とある科学の超電磁砲S/
とある魔術の禁書目録,インデックス,24,131333,5,2008,秋,../anime/とある魔術の禁書目録/とある魔術の禁書目録/
とある魔術の禁書目録Ⅱ,インデックス,24,131333,5,2010,秋,../anime/とある魔術の禁書目録/とある魔術の禁書目録Ⅱ/
劇場版とある魔術の禁書目録 -エンデュミオンの奇蹟-,インデックス,1,131333,5,2013,冬,../anime/とある魔術の禁書目録/
とある魔術の禁書目録Ⅲ,インデックス,0,131333,5,2018,秋,../anime/とある魔術の禁書目録/とある魔術の禁書目録Ⅲ/
トータルイクリプス,,24,49953,4,2012,夏,../anime/トータルイクリプス/
となりの吸血鬼さん,,0,65536,0,2018,秋,../anime/となりの吸血鬼さん/
とらドラ!,,25,65536,0,2008,秋,../anime/とらドラ!/
トリニティセブン,,13,8965,4,2014,秋,../anime/トリニティセブン/トリニティセブン/
にゃんこデイズ,,12,132100,3,2017,冬,../anime/にゃんこデイズ/
のうりん,,12,133276,4,2014,冬,../anime/のうりん/
ノーゲーム・ノーライフ,,12,140417,4,2014,春,../anime/ノーゲーム・ノーライフ/
ノラと皇女と野良猫ハート,ノラとと,12,1156,3,2017,夏,../anime/ノラと皇女と野良猫ハート/
のんのんびより,,12,131204,4,2013,秋,../anime/のんのんびより/のんのんびより/
のんのんびよりりぴーと,,13,131204,4,2015,夏,../anime/のんのんびより/のんのんびよりりぴーと/
バーナード嬢曰く。,,12,131204,4,2016,秋,../anime/バーナード嬢曰く/
ハイスクール・フリート,はいふり,12,131853,5,2016,春,../anime/ハイスクール・フリート/
ハイスコアガール,,12,65536,0,2018,夏,../anime/ハイスコアガール/
バカとテストと召喚獣,バカテス,13,65536,0,2010,冬,../anime/バカとテストと召喚獣/バカとテストと召喚獣/
バカとテストと召喚獣にっ,バカテス,13,65536,0,2011,夏,../anime/バカとテストと召喚獣/バカとテストと召喚獣にっ/
バディ・コンプレックス,,13,58113,3,2014,冬,../anime/バディ・コンプレックス/
ハナヤマタ,,12,131076,4,2014,夏,../anime/ハナヤマタ/
はねバド!,,12,131076,3,2018,夏,../anime/ハイスコアガール/
パパのいうことを聞きなさい！,,13,65536,0,2012,冬,../anime/パパのいうことを聞きなさい！/
ハマトラ,,12,1289,3,2014,冬,../anime/ハマトラ/ハマトラ/
Re: ハマトラ,,12,1289,3,2014,夏,../anime/ハマトラ/Re ハマトラ/
はるかなレシーブ,,12,131076,3,2018,夏,../anime/はるかなレシーブ/
ハンドシェイカー,,12,8448,2,2017,冬,../anime/ハンドシェイカー/
ひぐらしのなく頃に(第1期),,24,65536,0,2006,春,../anime/ひぐらしのなく頃に/ひぐらしのなく頃に/
ひぐらしのなく頃に解(第2期),,26,65536,0,2007,夏,../anime/ひぐらしのなく頃に/ひぐらしのなく頃に解/
ひなこのーと,,12,131076,4,2017,春,../anime/ひなこのーと/
ひなろじ～from Luck & Logic～,,12,131333,4,2017,夏,../anime/ひなろじ～from Luck & Logic～/
ファイ・ブレイン 神のパズル(第1シリーズ),,25,277,4,2011,秋,../anime/ファイ・ブレイン 神のパズル/第1期/
ファイ・ブレイン 神のパズル(第2シリーズ),,25,277,4,2012,春,../anime/ファイ・ブレイン 神のパズル/第2期/
ファイ・ブレイン 神のパズル(第3シリーズ),,25,277,4,2013,秋,../anime/ファイ・ブレイン 神のパズル/第3期/
ふらいんぐうぃっち,,12,132100,4,2016,春,../anime/ふらいんぐうぃっち/
プラスティック・メモリーズ,プラメモ,13,163915,5,2015,春,../anime/プラスティック・メモリーズ/
ブラック・ブレット,,13,34569,4,2014,春,../anime/ブラック・ブレット/
ブレイブウィッチーズ,ストライクウィッチーズ,13,21249,4,2016,秋,../anime/ブレイブウィッチーズ/
フレームアームズ・ガール,FAガール,12,148229,3,2017,春,../anime/フレームアームズ・ガール/
ブレンド・S,,12,131230,4,2017,秋,../anime/ブレンド・S/
ヘヴィーオブジェクト,HO,24,181003,5,2015,秋,../anime/ヘヴィーオブジェクト/
ベルゼブブ嬢のお気に召すまま。,ベルまま,0,131082,4,2018,秋,../anime/ベルゼブブ嬢のお気に召すまま。/
まよチキ！,,13,131214,4,2011,夏,../anime/まよチキ！/
まんがーる！,,13,131208,3,2013,冬,../anime/まんがーる！/
ミカグラ学園組曲,ミカグラ,12,131461,3,2015,春,../anime/ミカグラ学園組曲/
メカクシティアクターズ,,12,65536,2,2014,春,../anime/メカクシティアクターズ/
メルクストーリア -無気力少年と瓶の中の少女-,,0,65536,0,2018,秋,../anime/メルクストーリア -無気力少年と瓶の中の少女-/
メルヘン・メドヘン,,10,143621,4,2018,冬,../anime/メルヘン・メドヘン/
もやしもん,,11,131236,3,2007,秋,../anime/もやしもん/もやしもん/
もやしもん リターンズ,,11,131204,3,2012,夏,../anime/もやしもん/もやしもん リターンズ/
モンスター娘のいる日常,モン娘（もんむす）,12,131202,3,2015,夏,../anime/モンスター娘のいる日常/
やがて君になる,,0,65536,0,2018,秋,../anime/やがて君になる/
ヤマノススメ,,12,131076,4,2013,冬,../anime/ヤマノススメ/ヤマノススメ/
ヤマノススメ セカンドシーズン,,24,131076,4,2014,夏,../anime/ヤマノススメ/ヤマノススメ セカンドシーズン/
ヤマノススメ おもいでプレゼント(OVA),,2,131076,4,2017,秋,../anime/ヤマノススメ/
ヤマノススメ-サードシーズン-,,12,131076,4,2018,夏,../anime/ヤマノススメ/ヤマノススメ-サードシーズン-/
ユリ熊嵐,,12,139270,3,2015,冬,../anime/ユリ熊嵐/
ゆるキャン△,,12,133124,5,2018,冬,../anime/ゆるキャン△/
ようこそジャパリパーク,,5,1024,3,2018,夏,../anime/ようこそジャパリパーク/
ようこそ実力至上主義の教室へ,よう実,12,131076,3,2017,夏,../anime/ようこそ実力至上主義の教室へ/
よくわかる現代魔法,,12,65536,2,2009,夏,../anime/よくわかる現代魔法/
ヨルムンガンド,,12,777,5,2012,春,../anime/ヨルムンガンド/ヨルムンガンド/
ヨルムンガンド PERFECT ORDER,,12,777,5,2012,秋,../anime/ヨルムンガンド/ヨルムンガンド PERFECT ORDER/
ラーメン大好き小泉さん,,12,133124,4,2018,冬,../anime/ラーメン大好き小泉さん/
ランス・アンド・マスクス,ランマス,12,385,3,2015,秋,../anime/ランス・アンド・マスクス/
りゅうおうのおしごと！,,12,131080,4,2018,冬,../anime/りゅうおうのおしごと！/
ロウきゅーぶ！,,12,65536,0,2011,夏,../anime/ロウきゅーぶ/ロウきゅーぶ/
ロウきゅーぶ！SS,,12,65536,0,2013,夏,../anime/ロウきゅーぶ/ロウきゅーぶSS/
ログ・ホライズン,,25,140673,4,2013,秋,../anime/ログ・ホライズン/第1シリーズ/
ログ・ホライズン 第2シリーズ,,25,140673,4,2014,秋,../anime/ログ・ホライズン/第2シリーズ/
ロクでなし魔術講師と禁忌教典(アカシックレコード),,12,65536,0,2017,春,../anime/ロクでなし魔術講師と禁忌教典(アカシックレコード)/
ワカコ酒,,12,133120,5,2015,夏,../anime/ワカコ酒/
わかばガール,,12,131204,3,2015,夏,../anime/わかばガール/
ワガママハイスペック,ワガハイ,12,131204,3,2016,春,../anime/ワガママハイスペック/
ヲタクに恋は難しい,ヲタ恋,11,131210,4,2018,春,../anime/ヲタクに恋は難しい/
悪魔のリドル,,12,131853,5,2014,春,../anime/悪魔のリドル/
異世界居酒屋～古都アイテーリアの居酒屋のぶ～,,24,141448,3,2018,春,../anime/異世界居酒屋～古都アイテーリアの居酒屋のぶ～/
異世界魔王と召喚少女の奴隷魔術,,12,139521,3,2018,夏,../anime/異世界魔王と召喚少女の奴隷魔術/
異能バトルは日常系のなかで,いのバト,12,131461,3,2014,秋,../anime/異能バトルは日常系のなかで/
俺が好きなのは妹だけど妹じゃない,いもいも,0,65536,0,2018,秋,../anime/俺が好きなのは妹だけど妹じゃない/
俺の脳内選択肢が、学園ラブコメを全力で邪魔している,のうコメ,10,65536,0,2013,秋,../anime/俺の脳内選択肢が、学園ラブコメを全力で邪魔している/
俺の彼女と幼なじみが修羅場すぎる,俺修羅,13,65536,0,2013,冬,../anime/俺の彼女と幼なじみが修羅場すぎる/
俺の妹がこんなに可愛いわけがない,俺の妹,15,65536,0,2010,秋,../anime/俺の妹がこんなに可愛いわけがない/第一期/
俺の妹がこんなに可愛いわけがない,俺の妹,16,65536,0,2013,春,../anime/俺の妹がこんなに可愛いわけがない/第二期/
音楽少女,,12,65536,0,2018,夏,../anime/音楽少女/
花咲くいろは,花いろ,26,131144,4,2011,春,../anime/花咲くいろは/花咲くいろは/
花咲くいろは HOME SWEET HOME,,1,131144,4,2013,春,../anime/花咲くいろは/
灰と幻想のグリムガル,,12,8449,4,2016,冬,../anime/灰と幻想のグリムガル/
革命機ヴァルヴレイヴ,VVV,12,181013,4,2013,春,../anime/革命機ヴァルヴレイヴ/革命機ヴァルヴレイヴ/
革命機ヴァルヴレイヴ2ndシーズン,VVV,12,181013,4,2013,秋,../anime/革命機ヴァルヴレイヴ/革命機ヴァルヴレイヴ2ndシーズン/
学戦都市アスタリスク 1st SEASON,,12,189191,4,2015,秋,../anime/学戦都市アスタリスク/学戦都市アスタリスク 1st SEASON/
学戦都市アスタリスク 2nd SEASON,,12,189191,4,2016,春,../anime/学戦都市アスタリスク/学戦都市アスタリスク 2nd SEASON/
干物妹！うまるちゃん,,12,131204,3,2015,夏,../anime/干物妹！うまるちゃん/干物妹！うまるちゃん/
干物妹！うまるちゃんR,,12,131204,3,2017,秋,../anime/干物妹！うまるちゃん/干物妹！うまるちゃんR/
甘々と稲妻,,12,133132,4,2016,夏,../anime/甘々と稲妻/
甘城ブリリアントパーク,甘ブリ,13,140233,4,2014,秋,../anime/甘城ブリリアントパーク/
艦隊これくしょん-艦これ-,艦これ,12,140033,4,2015,冬,../anime/艦隊これくしょん-艦これ-/艦隊これくしょん-艦これ-/
劇場版 艦これ,艦これ,1,140033,4,2016,秋,../anime/艦隊これくしょん-艦これ-/
寄宿舎学校のジュリエット,,0,65536,0,2018,秋,../anime/寄宿舎学校のジュリエット/
機巧少女は傷つかない,マシンドール,3,140039,3,2013,秋,../anime/機巧少女は傷つかない/
鬼灯の冷徹 第弐期その弐 ,,12,139400,3,2018,春,../anime/鬼灯の冷徹/鬼灯の冷徹 第弐期その弐/
京都寺町三条のホームズ,,12,131080,3,2018,夏,../anime/京都寺町三条のホームズ/
境界線上のホライゾン,,13,65536,0,2011,秋,../anime/境界線上のホライゾン/
境界線上のホライゾンII,,13,65536,0,2012,夏,../anime/境界線上のホライゾンII/
響け！ユーフォニアム2,ユーフォニアム,13,131076,3,2016,秋,../anime/響け！ユーフォニアム2/
